Name,Email,Sent Messages (Baseline),Received Messages (Baseline),Recipients in Sent Messages (Baseline),Bcc Recipients in Sent Messages (Baseline),Cc Recipients in Sent Messages (Baseline),Read Later (in hours) (Baseline),Days between Received and Read (Baseline),Replies to Messages (Baseline),Characters in Outgoing Messages (Baseline),Messages Outside Working Hours (Baseline),Received/Sent Ratio (Baseline),Bytes Received and Sent Ratio (Baseline),Unanswered Questions (Baseline),Sent Messages (Comparison),Received Messages (Comparison),Recipients in Sent Messages (Comparison),Bcc Recipients in Sent Messages (Comparison),Cc Recipients in Sent Messages (Comparison),Read Later (in hours) (Comparison),Days between Received and Read (Comparison),Replies to Messages (Comparison),Characters in Outgoing Messages (Comparison),Messages Outside Working Hours (Comparison),Received/Sent Ratio (Comparison),Bytes Received and Sent Ratio (Comparison),Unanswered Questions (Comparison),Probability of Leaving
Ian Evans,ronald47@example.net,335,237,7,3,1,6,5,26,347,6,1.0871596807512278,0.7868252242584686,2,272,231,12,1,0,2,5,1,295,4,1.9353214124782263,0.5219012909462485,3,1
Kathleen Deleon,amandadavis@example.net,322,231,10,3,2,0,1,23,301,6,1.2543826873736226,1.577638593825779,2,298,219,6,0,2,2,4,27,309,2,1.2606281671889403,0.7766539276600886,0,0
Rebecca Vincent,kfranco@example.org,253,185,12,4,2,7,3,9,275,9,0.9321475347140756,0.9227778580438099,3,297,238,8,1,1,9,3,15,336,7,0.7875602211572803,1.1094604815308187,1,0
Sandra Rice,saundersemily@example.com,280,172,10,2,2,3,3,21,362,9,1.3519769398184263,1.9841850588156649,3,353,162,10,3,0,0,2,20,287,0,0.8146305784567303,0.8298808096898307,4,0
Jenna Pennington,angela17@example.net,224,177,2,2,1,4,1,15,246,5,0.5010663203806254,1.9933750810338473,0,356,215,8,2,3,4,2,19,340,7,0.7170497110672498,0.5896573045696769,2,1
Kathryn White,mnelson@example.org,384,182,4,1,3,7,1,21,258,0,1.4099050353877214,0.6012650078710995,3,334,265,1,3,2,2,4,10,206,2,1.0060614490616318,1.5014083416543416,1,1
Sarah Ramsey,browncarlos@example.org,288,215,10,1,0,3,4,5,261,5,1.6623173014772086,1.2844316044238195,1,268,208,13,2,1,8,4,23,340,3,1.5597244519035638,1.9239910219049228,1,1
Amy Stevens,dennispeterson@example.com,305,248,6,2,4,1,3,14,325,4,0.6656952582943754,1.4572935295310763,3,272,254,7,0,1,4,4,0,354,7,1.2535450948750095,1.9393835357072622,2,0
George Vargas,ngonzales@example.com,329,158,13,3,3,1,3,17,313,0,0.575024421020492,1.5875731089930776,2,282,197,6,0,1,6,5,14,310,3,1.5839167204730331,0.8628795504377428,1,1
Roger Cameron,sandra81@example.net,305,192,3,2,3,2,2,22,244,0,0.6941497287449021,1.219367872028457,0,268,145,4,2,2,9,5,29,316,4,1.5045605977060446,1.2990047373030396,3,1
Johnny Williams,michael57@example.net,355,190,4,2,4,6,5,1,205,6,0.965760474823536,1.0887307215617898,4,345,254,7,2,4,3,6,22,252,3,1.4963915039437246,0.9846941682117959,1,1
Donna Mayo,tjackson@example.org,271,168,4,2,2,9,2,5,356,9,1.895674913089984,1.1629493227496985,2,364,239,1,1,1,3,6,16,285,8,1.5045002022237686,1.0464044387868638,2,0
Evan Rogers,pcuevas@example.com,328,198,3,3,0,5,5,6,341,1,1.7986466221777269,1.6382423644061812,1,402,193,7,2,4,3,4,2,289,4,1.7486827413694115,0.548133805450087,3,1
Faith Robinson,bfoster@example.net,280,203,6,1,3,5,5,25,358,3,1.166278690915279,1.004785212985443,2,260,157,9,2,0,6,3,4,366,0,1.67417431167819,1.9692161183791244,3,0
Gabrielle Brown,wilcoxrussell@example.com,338,202,3,2,4,6,4,10,322,7,1.2843617105637852,0.5346927196007264,0,283,189,9,2,2,7,3,22,283,3,1.2234216467823527,0.6620074722358087,1,0
Robert Robertson,hchandler@example.net,275,183,12,0,0,3,3,15,262,6,0.8493215976364341,1.9021091608338074,4,375,176,10,0,2,1,2,7,268,8,0.5059423516365414,0.8041911636346777,3,0
Christopher Edwards,ujackson@example.net,286,207,12,2,3,0,4,28,251,1,1.578601881931238,1.8070384371543318,0,296,192,11,4,2,0,4,14,292,1,1.8445698987886616,1.7916058355583877,4,0
Angela Garcia,mezamaria@example.com,226,198,2,2,1,8,1,22,244,3,1.5808847112176116,0.5877267122735991,1,328,207,11,3,3,6,1,22,349,7,1.2187738907029853,1.7400205669923463,3,1
Raymond George,kburton@example.net,402,201,14,2,4,9,3,22,317,7,0.5834430247737938,1.6671542992692672,1,331,136,4,3,3,4,2,27,331,0,1.2931967914751143,1.9118672835065567,3,1
Brett Riggs II,smithstephanie@example.net,269,232,6,2,2,7,1,11,207,4,1.0202373256334658,1.034040981166932,4,276,198,5,3,0,7,6,27,311,3,1.6519626636656977,1.080223940659482,1,0
Stephanie Bean,jason27@example.com,302,183,10,3,2,1,1,4,290,4,0.6731582312069306,0.5732534179065376,4,361,224,9,2,4,0,6,24,316,6,1.6113097122733804,1.9735776661399618,0,0
Kim Barnett,eadams@example.net,343,207,3,1,4,8,3,1,314,0,1.2639793603941414,1.3309205967227462,2,228,169,6,4,1,4,6,9,233,6,1.6860197699567467,1.8751896089227893,1,0
Mary Dean,emma16@example.org,286,231,14,0,4,9,6,9,307,2,0.835406858955805,1.926414785651874,4,321,186,11,0,4,8,1,14,274,9,1.183542931514796,0.8479941288588648,4,0
Mrs. Robin Johnson,imartin@example.org,350,176,2,2,4,7,5,12,339,7,1.2662806166052492,1.9719517686914299,1,365,207,5,4,4,0,1,0,284,5,1.7047839743637443,1.8616266018602445,3,1
Jordan Taylor,utapia@example.org,262,210,13,4,1,0,1,19,317,5,1.736773704442725,1.3495239766772198,2,356,200,1,4,2,1,5,26,225,3,1.6206189521129237,0.5374462004367225,4,1
Cheryl Gomez,jeffrey60@example.net,421,220,9,2,1,4,1,27,350,7,1.165399709292974,1.9735020380118755,2,307,185,11,3,1,6,5,15,402,3,0.8063067219193044,1.9366646497680577,2,1
Stephanie Robles,dmoore@example.com,353,151,12,4,1,6,5,18,230,6,1.4784697910854778,1.523136683649548,1,300,221,8,4,0,0,3,4,285,5,1.497678016131791,1.6758005130219367,1,1
Michelle Olsen,jamesmiller@example.org,264,191,3,0,3,9,1,13,327,5,1.9188138842402815,0.8987224386629076,2,296,245,1,1,1,9,1,22,307,8,1.6483400953322795,1.5915284037524067,1,1
Kelsey Johnson,jeremyroberts@example.net,319,185,13,4,1,9,3,13,283,9,1.3697547452086554,0.8209065581689708,2,246,218,2,4,3,0,4,29,295,7,0.5209040681810767,1.7029961234404396,3,0
Joshua Fisher,william15@example.com,207,236,7,2,2,5,1,20,191,5,1.995800043422756,0.5898226125037526,1,292,207,4,0,3,6,1,17,386,5,0.6069477633838273,0.8069902873866521,0,0
John Harris,maureenrussell@example.com,340,180,12,2,4,3,5,18,301,1,1.3088246891074633,1.5974118232718695,0,373,205,2,2,4,7,1,8,222,0,1.3617376970044788,1.6338805680075197,0,1
Mr. Edward White MD,reidalexandra@example.org,252,202,1,2,2,1,4,20,325,0,1.5809464013891867,0.7529400348985282,0,273,254,13,3,1,4,1,15,285,6,1.672939736148793,1.894772259123055,0,0
Sergio Barnes,lvelasquez@example.org,293,223,13,2,2,4,3,24,440,4,1.0498004100198113,1.6349210743341298,0,324,199,7,1,0,9,5,8,278,7,0.6780663893993606,1.287057887876515,4,0
Nicole Levine,holmesdarlene@example.net,342,186,10,3,2,8,1,18,349,6,1.148937979803475,1.0016061085349406,3,267,213,9,0,0,7,6,11,244,4,1.4715812746273986,0.6542916378675129,4,1
Shelby Wong,isaiah52@example.org,171,189,13,3,2,6,6,28,348,7,0.803238122082134,1.4032029769224326,2,265,250,12,3,2,9,5,22,276,5,1.6083623475147,1.9667653808726666,4,1
Antonio Wilson,martinezbrian@example.net,292,193,5,1,4,9,1,7,322,6,1.227788145300722,1.83221440602608,1,356,197,11,3,0,4,6,6,322,2,1.5241434042722117,0.6750721347192827,3,1
Christopher Burns,kelly88@example.com,340,156,6,4,1,8,5,10,297,5,1.9825654537939519,1.175186493111595,0,307,227,8,4,4,5,3,18,321,1,1.0886247008345502,1.7842764824704598,1,0
Scott Miller,mdunn@example.com,298,210,3,3,2,3,4,11,299,5,1.8322501799285114,1.1297121706771036,1,357,222,4,1,2,6,5,8,333,9,1.1326191398581298,1.535299965503123,2,0
Tyler Sullivan,jimmysmith@example.net,303,234,5,1,4,9,2,21,320,9,0.9131596723711857,1.3794473804923852,1,246,162,14,4,2,6,2,7,387,1,0.6896690396960348,1.6044620392170574,3,0
Patrick Kennedy,willie55@example.net,207,239,2,4,3,7,1,6,280,8,1.1231558885026556,1.5807421565826698,2,369,220,2,4,1,3,6,17,307,6,0.6546900544373312,1.9913764770494493,3,1
Carrie Newton,tjenkins@example.net,349,208,14,2,2,1,5,26,264,9,1.0869946673128363,1.4055224233932195,0,195,184,5,2,3,0,3,22,368,8,1.7509886941056025,1.4082855153747296,3,0
Spencer Lopez,lisaevans@example.net,268,242,1,0,2,8,6,13,321,3,1.9349661666982592,1.0900626069006967,3,276,185,8,2,2,6,5,19,263,8,1.967055144684234,0.6557786932505847,4,0
Michelle Rose,boydjonathan@example.net,203,173,3,4,1,4,1,4,353,5,1.160926534359677,0.9203799697313817,3,341,219,13,3,3,1,3,9,246,4,1.1331253557458698,1.5699935035095656,3,0
Jared Gray,egallegos@example.org,318,202,9,4,3,8,4,29,370,2,0.7276189241604072,0.8777951034368172,3,289,227,10,0,0,3,3,0,131,2,0.7493465986936663,1.4298332835274241,4,1
Stacey Jones,theodore64@example.org,345,214,11,4,1,2,1,3,310,4,0.7691800388347206,1.8876572616923386,3,249,153,6,2,0,1,5,29,306,0,0.9521312584287007,1.739148970861474,4,0
Sherry Moore,jackie08@example.net,259,222,1,3,1,6,5,0,307,6,1.972082496770079,1.1916700956045905,0,219,200,7,2,1,4,1,22,277,4,0.9961298187961746,0.8152425764021822,4,0
Jessica Daniel,brandonclements@example.org,341,217,7,4,3,8,4,3,381,3,1.2710594059722462,1.2191449578547837,4,347,179,8,1,3,6,4,13,299,7,1.5774721607593387,1.4544945525005513,2,0
Danielle Dunn,idelgado@example.net,295,290,1,1,1,4,1,27,281,2,1.0908068218698164,0.9459165892996968,1,356,185,7,2,2,9,4,5,366,2,1.9678253307710425,1.6159410689913158,0,1
Heather Sanchez,amber63@example.net,245,202,9,0,2,6,5,2,291,5,1.6984648208374447,1.7305091418408325,4,292,180,13,2,2,6,1,17,259,3,1.198541739120606,0.6319680402314148,2,0
Melissa Miller,nguyenevan@example.com,309,182,12,2,0,2,5,20,261,4,0.5008468047830583,1.503021227028289,4,267,200,6,3,4,8,6,19,299,9,0.9894658098232891,1.4101832579255233,0,1
Sharon Barnes,ivanbrown@example.org,310,208,7,3,1,6,6,17,214,3,0.964344321916985,1.4397758468846873,2,358,176,1,1,1,6,5,21,289,4,0.8628591053725634,1.7801251533634825,2,1
Andrea Martinez,brandon91@example.org,296,211,10,3,0,7,5,27,182,0,1.508062110182443,0.6021795024298331,0,374,200,11,3,2,8,4,25,319,0,1.6131347549386401,1.4791028624456688,2,1
Clifford Collins,washingtonbrittany@example.net,306,173,12,2,4,0,4,20,225,3,0.6871738953292228,0.7368307735424584,3,325,211,2,1,4,4,1,2,321,4,1.9422346586775991,1.904570149315484,0,1
Alexander Reyes,gonzaleszachary@example.com,256,192,6,0,2,9,6,13,281,3,1.0075180524244838,1.2486256952913295,3,213,198,4,0,2,0,5,13,270,0,1.0449663311549755,1.257826574460481,2,1
Carol Caldwell,yvonnescott@example.com,333,208,8,1,1,7,4,29,279,1,0.6060025352527252,0.5318662646310848,0,248,214,11,4,3,9,2,15,366,0,0.8166227996077537,0.6379423578137784,2,0
Jennifer Nelson,aaronwhite@example.com,357,213,10,3,2,6,2,25,241,5,0.5145465301972032,0.7493207659719971,1,206,211,5,1,1,1,2,29,169,0,0.97627994488772,1.2019999709419706,3,0
Kristin Rios,walvarado@example.net,294,217,7,0,0,4,6,26,220,8,1.4080981003353032,1.808295960399225,2,371,222,3,1,0,5,2,17,267,5,0.9448141389990075,1.8239729998608405,3,0
Lisa Meyers,brenda86@example.net,264,218,6,3,1,8,4,11,235,5,1.1327219751227358,0.7679296697014832,1,340,167,9,0,0,8,4,17,344,2,0.6932747990670383,0.5698015216029397,0,0
Shari Sanchez,katie65@example.com,220,239,9,4,2,0,5,19,304,3,0.5351292698131129,1.0549159514997988,0,352,212,7,4,2,4,4,8,363,6,1.0153948908431094,0.9471987089773499,2,0
Eric Taylor,robinsonmorgan@example.net,329,178,4,3,2,6,5,6,256,9,0.7976039937375394,1.9029763430164524,1,321,234,7,1,2,5,5,26,311,1,1.7850633534771745,1.5525618743844716,2,1
Erica Craig,rbrown@example.org,377,196,4,2,4,1,1,23,354,5,1.98759928081336,1.9894210605026759,4,317,226,4,1,4,6,1,9,327,9,1.2322028590841447,1.197565873335719,3,1
Jose Clements,aorozco@example.net,358,198,3,0,2,6,5,26,283,8,0.5245374420261998,1.1453089391395626,4,335,229,4,4,4,8,6,26,279,1,1.9534371954245477,0.7725729226661884,0,1
Wayne Hill,heidiharris@example.net,404,158,8,2,4,3,3,1,383,4,0.9892072831816282,0.9695008196862072,2,275,233,5,3,4,0,5,5,352,8,1.5203961006812077,0.8591716441130215,4,1
Tammy Kirby,sboyd@example.net,330,179,7,2,1,2,4,12,346,5,1.7568302879653914,0.6388936533582595,3,291,179,2,2,0,9,4,4,330,7,1.1161923856106049,1.2883134741421363,3,0
Mr. Joshua Mclaughlin,starkjohn@example.com,335,239,4,4,4,3,4,2,381,8,1.712694306433227,0.8461001095697802,0,320,208,7,4,2,5,6,28,368,5,1.2091564860346709,1.8996881871760518,3,0
Charlotte Edwards,tnorton@example.org,292,217,7,3,2,4,1,0,270,2,1.5701989729778703,0.5678772592649851,2,242,224,7,3,4,3,6,8,359,7,1.8588748290404862,0.5487834944163354,1,1
Jennifer Castillo,johnsonrebecca@example.org,257,221,6,1,3,7,2,12,314,5,1.3102027172917605,1.4706472296470416,2,282,212,5,4,1,7,5,8,297,6,1.488405540170354,1.1213729340279586,0,1
Alexandra Wells,austinyates@example.org,253,135,9,1,3,6,3,7,402,2,1.3697834068835901,1.7973524918093116,2,246,229,7,2,4,4,6,26,297,6,1.3817800450948916,1.9761119059678631,4,0
Keith Frost,knightdaniel@example.com,315,186,5,1,2,4,6,26,326,9,1.8179990670327304,1.4846942845839461,1,275,222,3,3,3,9,6,10,279,3,1.3609942953703547,1.098466924236776,0,1
Julie Lopez,wellsjeremy@example.com,367,149,12,4,4,3,1,1,319,8,1.0691699933562644,1.5991759225581696,3,217,200,13,4,0,1,4,7,316,6,0.7538215303425578,1.6657151157029504,1,0
Russell Anderson,jessicamoss@example.com,248,211,6,0,0,9,2,29,337,2,1.8766741513983978,1.4788280820902835,2,316,166,3,3,2,0,5,0,327,5,0.6865702713342072,0.8842211086566616,3,0
Paige Figueroa,johngentry@example.net,280,212,11,0,0,0,5,17,355,8,1.3883636659703933,1.9356198664461184,4,262,173,5,0,4,2,2,11,358,7,1.5987598133393943,1.7396240630805906,1,0
Mr. Terry Lewis,brittneyalvarado@example.net,297,159,3,0,2,7,3,14,181,6,0.8325257410302997,1.7130322072644717,2,309,176,3,4,2,7,1,18,266,4,1.9831040728330143,1.6339363128503974,3,0
Danny Lynch,ahernandez@example.com,244,129,4,2,0,1,5,20,332,5,1.9805961610599676,1.8619458560664768,1,263,197,4,2,2,3,6,22,308,3,1.5444200520344122,0.7684403116866625,2,1
Marie Banks,morganballard@example.net,202,120,2,1,4,4,2,6,335,9,1.4509434371882266,0.8431919659360604,3,327,223,8,1,3,3,4,6,185,1,1.7167628593573867,1.778042156699678,3,1
Melissa Mccormick,kleinricardo@example.com,302,228,7,3,0,3,5,27,323,7,0.5941925120069582,1.0969441484473217,2,265,207,1,3,1,0,5,24,320,6,0.619857176570942,0.739950312482829,2,1
Amy Sanchez,wilkinsonjackie@example.com,340,204,2,2,1,5,3,1,283,4,1.862840960529981,0.8945595351362451,0,323,189,2,3,4,0,2,21,366,6,0.876991590624089,1.8796411717276214,4,0
Kevin Taylor,emclaughlin@example.com,296,153,2,2,4,5,3,7,266,6,1.5697841973264428,1.888905537632262,1,310,151,8,1,0,2,4,0,336,5,1.6404575456424388,1.6599176420122108,1,0
Kimberly Fernandez MD,brandon32@example.net,167,239,9,2,3,6,2,10,292,2,0.5008691099162601,0.9403141826357448,2,307,180,9,2,3,3,4,8,320,3,0.7928938861873778,1.922248469741574,4,0
Richard Rivera,ashleyvega@example.com,316,159,3,4,0,5,4,1,246,5,0.9907145255157266,0.7407251337730276,3,334,252,3,3,1,5,5,18,322,1,1.5596758942818598,1.8292792198448824,2,0
George Cross,zachary45@example.org,279,208,10,1,3,2,2,29,240,3,0.8473523680930315,0.8524693492679034,1,319,218,9,3,0,3,2,22,294,2,1.4853672160876057,1.0331852252216642,0,1
Christina Morales,schultzjerry@example.org,294,212,3,0,4,4,1,22,240,5,0.794183102810086,1.312383216898139,1,327,199,8,2,2,7,3,6,275,8,1.2006322843508825,1.1520993280240028,4,0
Donna Navarro,ptran@example.net,357,200,4,0,4,5,6,20,348,2,1.9884863099732024,1.654064455888074,0,385,235,5,1,3,2,3,0,345,0,1.3701872313391983,1.590280019854882,2,1
Amy Strickland,watsonkristin@example.org,272,210,7,4,1,2,1,21,315,7,0.8676867009349006,1.9660043056142202,2,265,188,3,1,2,0,4,0,336,5,1.5984532559932962,1.412823215995029,3,1
James Pope,hbrown@example.com,364,216,5,3,1,7,3,28,339,8,1.4926830591091431,1.9701734519069003,1,277,208,14,4,2,8,6,26,226,1,0.6012843525656801,0.7152328009506606,3,1
James Gonzales,dsantana@example.com,282,182,14,3,3,7,1,25,316,7,1.8121667321751862,1.028812908189823,0,290,188,2,2,0,6,1,8,262,3,0.8641700142637521,1.6085036758677922,0,1
Larry Graham,tbowman@example.net,233,234,4,0,2,4,3,29,282,9,1.239115038237965,0.9378109990588659,4,339,142,14,2,4,5,5,2,269,5,1.9732641487299405,0.9470213208023501,3,0
Nathan Wilson,sbennett@example.com,316,183,1,0,3,4,5,11,410,9,1.28107354458074,0.7148096895812839,2,328,231,4,1,0,7,4,9,318,7,1.5387077094171893,0.6586764694909243,4,1
Richard Lopez,nmiller@example.net,233,194,11,0,2,0,1,22,262,0,0.5544092728892824,0.5986703855554887,0,358,281,13,0,2,4,5,2,357,6,0.6648411068422416,1.1294121882598558,1,1
Melissa Logan,lisahinton@example.net,285,182,6,2,4,7,2,7,347,1,0.7341987819082427,1.7663046807527287,4,280,193,1,3,4,4,6,25,240,6,0.5843070439699334,0.5061243440267607,4,0
Miss Sandra Campbell,tracymartinez@example.net,331,160,8,2,3,5,6,29,268,3,0.9160104749095532,1.3949081262754863,2,265,197,5,4,0,7,6,17,255,0,0.9230492154879291,0.9086287562220996,2,1
Dr. Alexander Hatfield,acox@example.org,301,205,9,0,4,7,5,23,235,1,1.091280817767023,1.4564851292982004,0,199,165,1,4,2,3,3,11,277,6,1.8519704513073059,1.2680544757897,3,0
Rachel Ellis,kathyfernandez@example.com,264,233,12,2,1,2,3,27,326,1,0.7398716259399125,1.2084279626315704,3,302,224,8,0,1,6,1,13,289,3,0.8653777139308634,0.5842921901180043,3,1
Jacqueline Brown,rebecca84@example.org,302,190,8,4,0,4,5,6,383,0,1.8192582424362647,1.3038728091793383,2,323,102,3,0,2,4,5,11,254,6,0.9802930062711861,0.7067203476572008,4,1
Craig Russell,christophervelasquez@example.com,265,204,5,0,4,3,3,10,228,7,1.055364866000987,1.4741612091746894,3,259,244,14,1,2,0,2,5,185,7,1.048460750883134,0.8034477074443792,3,0
Jessica Prince,fnelson@example.net,316,185,6,0,0,4,1,0,302,6,0.6452968421533947,0.5185337574572053,1,286,174,8,0,2,9,2,11,260,4,0.5392856170053908,1.0828033579865963,3,0
Hannah Moore,martha78@example.org,378,167,14,4,1,2,3,29,259,3,0.9184256882151209,0.6429274602032589,0,341,241,3,0,2,7,4,23,296,1,1.9227556336218135,1.7474144182945937,3,1
Eric Mcmahon,katherinesmith@example.net,434,209,6,3,4,2,2,17,417,7,1.27807702928153,0.8962363640376771,1,335,198,3,0,3,4,3,26,271,5,1.2641397260931106,1.4151234932622079,3,1
James Bailey,thorntonjessica@example.org,312,193,8,0,4,5,6,2,297,8,0.9817319838425623,1.7412462025761277,2,351,190,14,4,4,3,4,7,311,1,1.3835217808068139,0.7989710912344633,1,0
Barbara Cochran,elizabethzimmerman@example.com,290,176,2,0,3,1,5,5,223,5,1.8558202533446462,1.4889515241039109,2,290,153,5,3,0,3,4,14,301,2,1.5865397016999736,0.5655225188425871,3,1
Michelle Hartman,aharding@example.com,389,182,3,3,2,1,5,6,284,9,1.805495340275738,1.4575214672606454,2,236,229,12,4,1,7,4,2,386,4,0.648149797665353,0.9687153660998806,4,0
Jennifer Lynch,robertschristopher@example.com,313,168,7,2,2,0,3,3,245,8,1.5759856370885574,1.8255415740546335,2,275,233,9,3,1,2,1,3,267,2,0.9835265584806617,1.9646850080741933,0,0
Billy Washington,wendyrussell@example.net,142,243,14,1,2,8,2,14,347,6,1.6622961582008475,0.8454356783446133,2,313,197,14,0,2,6,3,4,281,6,1.8524317552473581,1.6799572436917343,4,1
Justin Roth,daniel44@example.net,288,162,3,4,4,6,2,12,296,7,1.5930045597010152,1.176358853561458,3,285,171,8,1,3,5,5,21,303,6,0.5216226472551818,0.8011211350608296,0,1
Leroy Weeks,brandyyoung@example.com,288,180,1,0,2,6,4,3,336,5,1.0997939736701516,1.0717052387168384,1,289,155,5,2,0,8,6,29,291,6,1.9162662316944574,1.559220718568302,1,1
Michele Andersen,michellefrench@example.org,270,196,1,3,2,2,3,24,235,9,1.4128258651015586,1.4941849117680435,2,285,188,3,3,0,7,2,21,356,5,1.0510026418136107,1.0542239592886926,2,0
Ashley Hopkins,emorris@example.com,305,163,5,3,3,3,2,9,427,6,0.5252360241296301,0.5056989667677892,0,273,216,2,1,0,8,6,21,294,8,1.180042862452171,0.5619265869287549,2,1
Christopher Whitaker,wyattwalter@example.net,328,240,2,4,4,7,6,11,283,6,0.7633882602853428,0.5170087367587455,3,242,210,14,3,3,7,3,25,307,5,1.6670835463929596,0.6141055518033414,2,0
Benjamin Harrington,bondcatherine@example.org,313,260,1,4,4,3,3,23,359,3,0.6046309518265369,1.5005753834960676,3,325,241,2,0,4,5,6,9,325,9,1.755405913892742,1.3208862528808059,1,0
Abigail Navarro,pughchristine@example.com,285,169,6,4,4,6,2,1,319,9,1.7789401094470532,1.094851059715257,3,324,161,5,3,4,3,1,0,229,5,0.7026508958870001,0.6870809356274817,3,1
Katherine Roth,johnhowell@example.com,309,217,11,4,4,0,4,25,329,4,0.8046464332074937,0.7363819845582372,0,345,252,13,3,3,9,4,8,290,0,1.8936608757281066,0.6168763343382697,3,1
Larry Jones,fwalker@example.com,236,235,13,2,4,7,1,25,233,9,1.4375042680776104,0.9609130900757132,4,377,185,12,4,2,0,1,24,343,6,1.4756953086509976,1.6784425103223577,0,1
Melanie Kennedy,smithamy@example.net,360,206,5,3,3,8,5,18,279,8,1.4330752392692978,1.8260122283102378,0,346,202,13,4,2,7,4,19,330,0,0.7470255342488052,0.5433867296574381,0,1
Ashlee Gonzalez,leslie87@example.com,280,224,5,3,3,6,2,3,343,9,1.2918194524079034,1.9054989519870134,2,337,168,12,1,3,6,4,9,325,2,1.976515156548056,1.8860904396993456,0,0
Paul Blake,sergio21@example.com,328,228,11,2,3,5,6,12,289,4,0.5200752583320404,1.948817479943203,2,307,200,13,2,1,4,5,29,186,5,1.8204464960184596,1.018397448006561,0,1
Jacob Evans,cynthia47@example.com,269,208,13,0,3,5,6,24,272,5,1.165512473329402,1.3665300140501466,3,329,185,1,3,1,2,2,0,360,4,1.5974098846161124,1.3888410553374007,2,1
Kenneth Walter,april65@example.net,278,191,6,0,1,7,1,27,231,5,1.5564293974219419,1.4659610564524823,0,267,184,14,1,0,5,2,15,345,5,1.099262365812998,1.3756038559170958,2,0
Maria Sawyer,jwade@example.com,201,192,9,2,1,5,2,4,295,4,1.8217962775770156,1.6436184315652818,4,248,225,10,4,0,3,6,10,288,6,1.0854653567035082,1.374567344634855,4,0
Glenn Williams,courtney46@example.net,263,234,11,3,1,4,4,19,320,1,1.0263855377230517,1.3820846508281266,2,269,229,13,2,1,5,1,18,264,8,0.8438173345117785,0.6690843183008115,0,1
David Dixon,pcooper@example.com,287,242,2,1,1,0,2,12,271,9,1.060860021939137,0.9976063066575034,4,269,219,14,1,1,2,5,5,290,1,0.7368405400783762,1.0786228620764833,3,1
Christina Bowen,oklein@example.com,259,175,8,0,1,1,1,27,320,3,1.5064529824766328,1.6904012212300623,1,276,231,8,3,3,5,3,25,379,3,1.6491915301100009,1.376763571647796,2,0
Cory Brown,jessicarobinson@example.org,317,205,13,0,4,2,3,29,280,7,1.6477800824802213,0.5195702770709927,4,304,167,8,0,2,6,4,25,233,6,1.1912639600770905,1.956370589079448,0,0
Joel Fleming,kennethrodriguez@example.com,222,159,6,4,4,1,2,26,266,3,0.7641145454961427,1.705614471885711,4,290,173,8,0,3,9,2,25,227,3,0.7409701114432768,1.165668884691697,0,1
Richard Li,nparks@example.net,278,185,7,4,0,0,4,1,410,2,1.9726792089771459,1.132726387894766,3,233,228,14,2,2,4,1,21,264,0,1.8959669908195596,0.752143134708011,0,1
Amber Ruiz,fwatson@example.net,321,229,10,2,4,4,2,20,370,9,1.8667466090754996,1.721966349588641,3,333,212,8,1,4,2,2,20,404,6,1.6655444798230175,1.1314128122114182,2,0
William Cain,mariawatson@example.com,291,194,5,4,2,1,4,6,289,9,1.5199640852071519,0.5144205715898871,0,264,186,14,2,4,5,2,25,371,3,1.428870233144937,0.8759012954466341,4,1
James Thomas,carol85@example.org,366,204,4,4,1,7,4,16,281,0,0.519250679872022,1.691593033016676,0,338,199,14,1,1,3,5,12,335,4,0.7328237140487327,1.1621220143444075,3,1
Leslie Maddox,mcgeewilliam@example.com,284,215,5,2,3,0,2,16,229,6,1.7346132560588663,1.802839670835302,1,309,217,4,3,3,6,4,0,249,4,1.5993663930630968,1.6388266926043336,2,1
Tony Horton,shafferjacob@example.net,288,200,6,4,4,4,5,10,356,4,1.3192330282064246,0.7409155084421262,3,362,190,10,3,0,1,6,27,325,0,1.1545026292952398,0.7340728142547789,2,1
Natalie Vargas,carol49@example.com,299,167,5,2,2,6,3,22,301,6,1.3016624238834267,1.1765515553406145,3,243,202,5,3,0,7,1,18,371,1,0.633420033871077,1.5259246321109579,1,1
Lisa Graves,smitheric@example.com,226,97,3,2,3,2,6,2,347,2,1.8705697133520465,1.8864923797547264,3,289,173,8,1,1,0,2,0,337,4,1.9781900215747878,1.7818661165399812,4,1
Michelle May,yroberts@example.com,231,202,2,4,0,1,1,2,190,3,1.0011909517354889,0.7065348629739405,4,361,177,13,3,4,0,2,5,300,5,1.0869447618726158,1.8332214934549338,0,0
Lori Nolan,rjohnston@example.org,420,184,1,2,3,1,5,16,252,6,1.1563484055894795,1.6184720301706454,1,288,214,2,3,1,2,5,5,228,3,1.2744306742477862,1.572818549293167,0,1
Danielle Compton,oclayton@example.org,236,269,1,4,0,8,2,15,299,0,0.8045687157935068,1.8705601777923366,0,345,227,12,0,0,6,2,20,204,9,0.9945212266044513,1.8034293292560892,4,0
Leah Donaldson,nicholasadams@example.com,263,205,4,2,2,5,3,10,309,0,1.503594273533484,1.4348176453459236,4,372,203,9,3,1,5,2,13,228,3,0.7625484428128265,1.8362182260783015,2,1
Felicia Arellano,david84@example.com,271,202,2,3,3,0,3,9,221,6,1.8507827232392253,1.4112966128375848,2,250,193,11,0,4,0,2,26,305,7,1.2392403419204816,1.0260314065738303,3,0
